iter	Passed	Remaining
692	25427	11264
693	25460	11226
694	25491	11187
695	25521	11147
696	25554	11108
697	25593	11073
698	25626	11035
699	25662	10998
700	25694	10959
701	25725	10920
702	25755	10880
703	25785	10841
704	25815	10802
705	25848	10764
706	25876	10724
707	25908	10685
708	25936	10645
709	25968	10606
710	26004	10569
711	26034	10530
712	26062	10490
713	26098	10453
714	26126	10414
715	26158	10375
716	26185	10335
717	26218	10297
718	26247	10257
719	26279	10219
720	26307	10180
721	26339	10141
722	26368	10102
723	26397	10063
724	26429	10024
725	26456	9984
726	26489	9947
727	26518	9908
728	26549	9869
729	26581	9831
730	26614	9793
731	26665	9762
732	26704	9727
733	26742	9691
734	26785	9657
735	26822	9621
736	26851	9582
737	26881	9543
738	26910	9504
739	26942	9466
740	26971	9427
741	26999	9387
742	27030	9349
743	27059	9310
744	27090	9272
745	27119	9233
746	27150	9195
747	27178	9156
748	27206	9117
749	27238	9079
750	27268	9041
751	27298	9002
752	27328	8964
753	27359	8926
754	27390	8888
755	27421	8850
756	27451	8811
757	27482	8774
758	27511	8735
759	27540	8696
760	27569	8658
761	27597	8619
762	27628	8581
763	27658	8543
764	27695	8507
765	27738	8473
766	27773	8437
767	27804	8399
768	27834	8361
769	27866	8323
770	27900	8286
771	27930	8249
772	27964	8212
773	27995	8174
774	28026	8136
775	28071	8103
776	28099	8064
777	28129	8026
778	28159	7988
779	28194	7952
780	28223	7914
781	28254	7876
782	28282	7838
783	28314	7800
784	28343	7762
785	28372	7724
786	28404	7687
787	28432	7649
788	28462	7611
789	28491	7573
790	28523	7536
791	28553	7498
792	28585	7461
793	28616	7424
794	28647	7387
795	28677	7349
796	28710	7312
797	28739	7274
798	28769	7237
799	28803	7200
800	28835	7163
801	28864	7126
802	28895	7089
803	28923	7050
804	28952	7013
805	28985	6976
806	29015	6939
807	29047	6902
808	29076	6864
809	29108	6828
810	29138	6790
811	29175	6754
812	29212	6719
813	29246	6682
814	29278	6645
815	29309	6609
816	29338	6571
817	29366	6533
818	29396	6496
819	29427	6459
820	29462	6423
821	29497	6387
822	29528	6350
823	29558	6313
824	29587	6276
825	29619	6239
826	29650	6202
827	29678	6165
828	29709	6128
829	29738	6090
830	29769	6054
831	29802	6017
832	29831	5980
833	29863	5944
834	29894	5907
835	29922	5869
836	29951	5832
837	29981	5796
838	30010	5758
839	30042	5722
840	30073	5685
841	30105	5649
842	30138	5613
843	30174	5577
844	30211	5541
845	30240	5504
846	30284	5470
847	30329	5436
848	30368	5401
849	30412	5366
850	30443	5330
851	30474	5293
852	30502	5256
853	30532	5219
854	30566	5183
855	30597	5147
856	30630	5111
857	30661	5074
858	30691	5037
859	30724	5001
860	30756	4965
861	30790	4929
862	30822	4893
863	30853	4856
864	30882	4819
865	30920	4784
866	30955	4748
867	30993	4713
868	31025	4676
869	31054	4640
870	31084	4603
871	31113	4567
872	31146	4531
873	31174	4494
874	31203	4457
875	31234	4421
876	31265	4385
877	31295	4348
878	31328	4312
879	31357	4276
880	31391	4240
881	31421	4203
882	31452	4167
883	31480	4130
884	31509	4094
885	31539	4058
886	31567	4021
887	31597	3985
888	31626	3948
889	31656	3912
890	31685	3876
891	31714	3839
892	31743	3803
893	31774	3767
894	31814	3732
895	31845	3696
896	31873	3659
897	31901	3623
898	31931	3587
899	31961	3551
900	31991	3515
901	32020	3478
902	32051	3442
903	32080	3406
904	32109	3370
905	32139	3334
906	32171	3298
907	32206	3263
908	32237	3227
909	32267	3191
910	32295	3155
911	32324	3119
912	32352	3082
913	32380	3046
914	32410	3010
915	32437	2974
916	32467	2938
917	32495	2902
918	32523	2866
919	32556	2831
920	32585	2795
921	32616	2759
922	32644	2723
923	32672	2687
924	32703	2651
925	32731	2615
926	32761	2579
927	32788	2543
928	32823	2508
929	32853	2472
930	32884	2437
931	32912	2401
932	32940	2365
933	32971	2329
934	32999	2294
935	33035	2258
936	33064	2223
937	33094	2187
938	33122	2151
939	33152	2116
940	33180	2080
941	33208	2044
942	33239	2009
943	33269	1973
944	33299	1938
945	33327	1902
946	33355	1866
947	33386	1831
948	33414	1795
949	33444	1760
950	33473	1724
951	33505	1689
952	33533	1653
953	33564	1618
954	33594	1582
955	33621	1547
956	33651	1512
957	33680	1476
958	33709	1441
959	33739	1405
960	33767	1370
961	33799	1335
962	33831	1299
963	33859	1264
964	33887	1229
965	33915	1193
966	33945	1158
967	33973	1123
968	34002	1087
969	34030	1052
970	34058	1017
971	34088	981
972	34116	946
973	34145	911
974	34175	876
975	34203	841
976	34234	805
977	34264	770
978	34293	735
979	34324	700
980	34352	665
981	34382	630
982	34410	595
983	34441	560
984	34471	524
985	34498	489
986	34529	454
987	34558	419
988	34590	384
989	34618	349
990	34648	314
991	34676	279
992	34703	244
993	34733	209
994	34760	174
995	34787	139
996	34817	104
997	34847	69
998	34878	34
999	34907	0
